,charge,label
722,2.2744684,Standard
723,1.9917535,Standard
724,0.7498915,Standard
725,1.8291016,Standard
726,3.1103244,Standard
727,0.7144097,Standard
728,1.9914279,Standard
729,1.5224609,Standard
730,1.0155436,Standard
731,0.69970703,Standard
732,3.8274739,Standard
733,1.1488173,Standard
734,3.0409613,Standard
735,1.2601997,Standard
736,0.7721897,Standard
737,3.486084,Standard
738,1.394043,Standard
739,1.6937934,Standard
740,3.4243164,Standard
741,1.5722656,Standard
742,0.88633895,Standard
743,1.203776,Standard
744,11.31638,Standard
745,2.4245877,Standard
746,1.1903212,Standard
747,1.0518663,Standard
748,2.6282823,Standard
749,0.9173177,Standard
750,7.5990396,Standard
751,1.8000488,Standard
752,1.5839844,Standard
753,2.2044,Standard
754,4.919027,Standard
755,2.7937284,Standard
756,1.9678277,Standard
757,1.0237631,Standard
758,2.0504558,Standard
759,10.515354,Standard
760,1.6428223,Standard
761,2.943495,Standard
762,6.2099066,Standard
763,3.466417,Standard
764,2.457845,Standard
765,1.1315104,Standard
766,0.95773655,Standard
767,1.4069824,Standard
768,1.0999078,Standard
769,5.2817383,Standard
770,2.8232422,Standard
771,1.5183648,Standard
772,1.0617404,Standard
773,2.0337727,Standard
774,2.5705023,Standard
775,1.0884061,Standard
776,4.1891274,Standard
777,0.82804364,Standard
778,0.5673828,Standard
779,56.21563,Standard
780,2.3650174,Standard
781,2.721327,Standard
782,1.4342448,Standard
783,1.1440972,Standard
784,1.2648926,Standard
785,4.1852484,Standard
786,1.9847819,Standard
787,0.8623047,Standard
788,2.3317058,Standard
789,1.3059896,Standard
790,3.3618977,Standard
791,1.5866699,Standard
792,3.4003093,Standard
793,1.176351,Standard
794,1.32704,Standard
795,3.0293782,Standard
796,0.9756402,Standard
797,1.303087,Standard
798,1.2301432,Standard
799,1.2789985,Standard
800,1.4284668,Standard
801,1.7969292,Standard
802,1.8977051,Standard
803,2.527588,Standard
804,1.4899902,Standard
805,0.57576495,Standard
806,8.699761,Standard
807,1.2518717,Standard
808,1.6425781,Standard
809,0.79248047,Standard
810,2.586046,Standard
811,1.9457465,Standard
812,1.2120497,Standard
813,4.46441,Standard
814,4.2660317,Standard
815,2.6411133,Standard
816,2.273139,Standard
817,3.442464,Standard
818,1.777832,Standard
819,1.0074869,Standard
820,1.5136719,Standard
821,1.2193468,Standard
822,1.8056912,Standard
823,1.015625,Standard
824,1.4772677,Standard
825,2.0506184,Standard
826,1.730523,Standard
827,0.8331163,Standard
828,0.80371094,Standard
829,1.8062608,Standard
830,1.5977647,Standard
831,7.339193,Standard
832,1.6286621,Standard
833,1.219835,Standard
834,0.9734158,Standard
835,3.476454,Standard
836,1.430854,Standard
837,0.7397461,Standard
838,2.7024739,Standard
839,6.577311,Standard
840,2.6035156,Standard
841,0.4711914,Standard
842,2.6676433,Standard
843,7.8975153,Standard
844,4.3048773,Standard
845,1.8736708,Standard
846,16.125053,Standard
847,2.9228516,Standard
848,3.2977703,Standard
849,11.82053,Standard
850,0.73746747,Standard
851,0.8730469,Standard
852,6.2546387,Standard
853,1.1757812,Standard
854,1.4476997,Standard
855,3.3967285,Standard
856,0.7635634,Standard
857,2.4875216,Standard
858,6.027154,Standard
859,1.4904785,Standard
860,8.794488,Standard
861,2.0975206,Standard
862,1.2356771,Standard
863,3.1845703,Standard
864,2.6346028,Standard
865,1.1972656,Standard
866,2.2684734,Standard
867,2.2647028,Standard
868,1.2106662,Standard
869,2.0976562,Standard
870,0.8597005,Standard
871,2.507921,Standard
872,1.6379395,Standard
873,2.0874567,Standard
874,1.020562,Standard
875,2.9584148,Standard
876,19.532091,Standard
877,0.7440864,Standard
878,1.7921549,Standard
879,1.1875272,Standard
880,1.703342,Standard
881,4.7188587,Standard
882,10.968804,Standard
883,0.7263997,Standard
884,2.0645075,Standard
885,0.664388,Standard
886,2.783393,Standard
887,1.8135308,Standard
888,2.638455,Standard
889,0.3851454,Standard
890,3.083496,Standard
891,2.2113445,Standard
892,1.419732,Standard
893,5.24056,Standard
894,1.8238661,Standard
895,1.7680664,Standard
896,1.052436,Standard
897,1.3177084,Standard
898,4.963162,Standard
899,2.9061956,Standard
900,0.7130263,Standard
901,2.3635526,Standard
902,1.34139,Standard
903,1.2858344,Standard
904,66.38951,Standard
905,1.8898926,Standard
906,1.3990885,Standard
907,0.7505425,Standard
908,1.9969347,Standard
909,0.74490017,Standard
910,1.8123101,Standard
911,1.2316623,Standard
912,2.2593586,Standard
913,1.3738607,Standard
914,1.5184462,Standard
915,2.9050293,Standard
916,0.92697483,Standard
917,1.8802354,Standard
918,1.7814127,Standard
919,1.5554199,Standard
920,0.85910374,Standard
921,0.60058594,Standard
922,1.5014648,Standard
923,44.519993,Standard
924,0.7080078,Standard
925,3.3160264,Standard
926,1.0101182,Standard
927,1.7148166,Standard
928,1.9189453,Standard
929,14.193224,Standard
930,2.910346,Standard
931,4.7916937,Standard
932,2.2399359,Standard
933,0.76139325,Standard
934,0.5559353,Standard
935,0.43592665,Standard
936,1.03125,Standard
937,1.4571397,Standard
938,0.8605686,Standard
939,5.2132974,Standard
940,1.5088975,Standard
941,0.7197808,Standard
942,7.686225,Standard
943,0.86954755,Standard
944,0.4656033,Standard
945,4.2113442,Standard
946,0.7626411,Standard
947,4.117106,Standard
948,2.7913682,Standard
949,4.475477,Standard
950,1.7565104,Standard
951,39.21506,Standard
952,2.6461859,Standard
953,1.6601562,Standard
954,1.7258573,Standard
955,1.1844347,Standard
956,0.78597003,Standard
957,1.3286405,Standard
958,1.8181152,Standard
959,2.1253798,Standard
960,1.2418619,Standard
961,1.1019965,Standard
962,2.0212674,Standard
963,2.9395616,Standard
964,2.3130155,Standard
965,1.4455838,Standard
966,0.86428493,Standard
967,0.85129124,Standard
968,1.2944064,Standard
969,3.608941,Standard
970,2.8464084,Standard
971,0.58496094,Standard
972,1.0899522,Standard
973,2.1872559,Standard
974,5.2606335,Standard
975,0.74625653,Standard
976,0.7171224,Standard
977,2.005588,Standard
978,4.1531577,Standard
979,3.0135362,Standard
980,0.6455078,Standard
981,1.1136068,Standard
982,0.394477,Standard
983,1.0983887,Standard
984,1.2725966,Standard
985,2.3911676,Standard
986,2.760037,Standard
987,1.7312284,Standard
988,3.0858562,Standard
989,1.8429904,Standard
990,5.6383734,Standard
991,1.8963487,Standard
992,1.3921441,Standard
993,0.69124347,Standard
994,1.7675239,Standard
995,3.1072862,Standard
996,2.476888,Standard
997,1.7539605,Standard
998,1.9066026,Standard
999,1.2105035,Standard
1000,0.5726454,Standard
1001,1.1017795,Standard
1002,1.4070638,Standard
1003,0.9977214,Standard
1004,1.8779025,Standard
1005,1.4012858,Standard
1006,1.2422417,Standard
1007,2.3403864,Standard
1008,1.3500977,Standard
1009,1.9417046,Standard
1010,1.2222764,Standard
1011,0.9008789,Standard
1012,1.270562,Standard
1013,1.6835395,Standard
1014,1.0294054,Standard
1015,2.1262207,Standard
1016,1.7188042,Standard
1017,1.1571181,Standard
1018,1.1240234,Standard
1019,52.01652,Standard
1020,1.4169108,Standard
1021,1.5710721,Standard
1022,0.9914822,Standard
1023,1.5251465,Standard
1024,11.869032,Standard
1025,0.859375,Standard
1026,6.096598,Standard
1027,2.121175,Standard
1028,0.8909505,Standard
1029,0.9358724,Standard
1030,2.0597873,Standard
1031,1.2794325,Standard
1032,1.1157227,Standard
1033,4.186361,Standard
1034,1.1875,Standard
1035,2.9841037,Standard
1036,0.7196452,Standard
1037,1.9467773,Standard
1038,7.241889,Standard
1039,1.995714,Standard
1040,0.480306,Standard
1041,1.3082682,Standard
1042,2.9451227,Standard
1043,1.1923828,Standard
1044,4.803711,Standard
1045,0.77926975,Standard
1046,4.2517633,Standard
1047,0.60286456,Standard
1048,1.9278429,Standard
1049,0.6888292,Standard
1050,0.9506836,Standard
1051,1.127143,Standard
1052,6.1854653,Standard
1053,2.7016602,Standard
1054,1.1116537,Standard
1055,2.010905,Standard
1056,1.0052626,Standard
1057,1.0901964,Standard
1058,0.48876953,Standard
1059,2.633952,Standard
1060,2.5529513,Standard
1061,2.2119412,Standard
1062,2.447781,Standard
1063,1.6668837,Standard
1064,0.66606987,Standard
1065,2.1876898,Standard
1066,1.3676758,Standard
1067,0.507921,Standard
1068,0.6461046,Standard
1069,1.1836752,Standard
1070,1.6203613,Standard
1071,4.191515,Standard
1072,1.0421007,Standard
1073,0.7446289,Standard
1074,3.5555284,Standard
1075,1.8896484,Standard
1076,0.99612087,Standard
1077,1.5272353,Standard
1078,1.1232638,Standard
1079,1.7561849,Standard
1080,0.5259874,Standard
1081,3.5525174,Standard
1082,1.3393555,Standard
1083,1.0652398,Standard
1084,1.5581597,Standard
1085,2.2500544,Standard
1086,1.087538,Standard
1087,1.1137967,Standard
1088,1.0135092,Standard
1089,1.5764974,Standard
1090,2.3562284,Standard
1091,1.3719076,Standard
1092,0.62679034,Standard
1093,1.830051,Standard
1094,1.9213867,Standard
1095,2.0792644,Standard
1096,1.7934028,Standard
1097,0.9180501,Standard
1098,1.9274902,Standard
1099,1.3513998,Standard
1100,2.759006,Standard
1101,3.749539,Standard
1102,0.46755642,Standard
1103,2.211046,Standard
1104,1.883355,Standard
1105,0.7809245,Standard
1106,1.2935655,Standard
1107,1.2746582,Standard
1108,2.7135146,Standard
1109,6.3295627,Standard
1110,0.94124347,Standard
1111,1.6944174,Standard
1112,2.1263292,Standard
1113,0.9596897,Standard
1114,4.3468966,Standard
1115,2.1676433,Standard
1116,1.5800781,Standard
1117,2.0045302,Standard
1118,53.415012,Standard
1119,3.3755155,Standard
1120,0.9861382,Standard
1121,4.4095864,Standard
1122,2.6641438,Standard
1123,1.3025174,Standard
1124,0.9746365,Standard
1125,1.1106771,Standard
1126,2.6396484,Standard
1127,1.3289117,Standard
1128,0.34168836,Standard
1129,1.9707031,Standard
1130,1.6425781,Standard
1131,1.7719998,Standard
1132,3.1116266,Standard
1133,0.87250435,Standard
1134,2.4495173,Standard
1135,3.6688097,Standard
1136,1.7327474,Standard
1137,7.158203,Standard
1138,1.1030816,Standard
1139,1.3249784,Standard
1140,1.2692057,Standard
1141,1.9448242,Standard
1142,1.5069716,Standard
